web-scraper-order,web-scraper-start-url,type_chaussures,Prix,Adresse,Image_lien,Image_lien-href
"1739393952-1","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","10 000CFA","Fass, Dakar, Sénégal","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181147"
"1739393952-2","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","7 000CFA","Fass, Dakar, Sénégal","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181139"
"1739393952-3","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 500CFA","Fass, Dakar, Sénégal","favorite_border1jour","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-5181134"
"1739393952-4","https://sn.coinafrique.com/categorie/chaussures-enfants","Ballerines enfants","12 000CFA","Dakar, Sénégal","favorite_border24jours","https://sn.coinafrique.com/annonce/chaussures-enfants/ballerines-enfants-5141832"
"1739393952-5","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","2 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-5125946"
"1739393952-6","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets enfant","3 500CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border2mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfant-5080430"
"1739393952-7","https://sn.coinafrique.com/categorie/chaussures-enfants","Basket","5 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border2mois","https://sn.coinafrique.com/annonce/chaussures-enfants/basket-5080428"
"1739393952-8","https://sn.coinafrique.com/categorie/chaussures-enfants","Claquettes","8 450CFA","Fass, Dakar, Sénégal","favorite_border2mois","https://sn.coinafrique.com/annonce/chaussures-enfants/claquettes-5047806"
"1739393952-9","https://sn.coinafrique.com/categorie/chaussures-enfants","Ensemble chaussures et chaussettes pour bebe","1 800CFA","Dakar Plateau, Dakar, Sénégal","favorite_border3mois","https://sn.coinafrique.com/annonce/chaussures-enfants/ensemble-chaussures-et-chaussettes-pour-bebe-5037805"
"1739393952-10","https://sn.coinafrique.com/categorie/chaussures-enfants","Ballerines enfants","Prix sur demande","Dakar, Sénégal","favorite_border3mois","https://sn.coinafrique.com/annonce/chaussures-enfants/ballerines-enfants-5002639"
"1739393952-11","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike Air Max","6 000CFA","Yoff, Dakar, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-air-max-4979173"
"1739393952-12","https://sn.coinafrique.com/categorie/chaussures-enfants","Jordan enfants","20 000CFA","Dakar, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/chaussures-enfants/jordan-enfants-4976138"
"1739393952-13","https://sn.coinafrique.com/categorie/chaussures-enfants","jordans enfants","20 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/chaussures-enfants/jordans-enfants-4969624"
"1739393952-14","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","4 000CFA","Dakar, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4950665"
"1739393952-15","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","13 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border4mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4934544"
"1739393952-16","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-enfants-4930603"
"1739393952-17","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-enfants-4930596"
"1739393952-18","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","17 000CFA","Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4928091"
"1739393952-19","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets  Jordan enfants","16 000CFA","Dakar, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-enfants-4928088"
"1739393952-20","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Jordan 6","11 000CFA","Rufisque, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-6-4921251"
"1739393952-21","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets Nike React","9 000CFA","Rufisque, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-nike-react-4921241"
"1739393952-22","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets enfant","8 000CFA","Rufisque, Sénégal","favorite_border5mois","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-enfant-4921233"
"1739393952-23","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","20 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border6mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4870683"
"1739393952-24","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Keur Massar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4797078"
"1739393952-25","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébé et enfant","Prix sur demande","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebe-et-enfant-4783650"
"1739393952-26","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures filles","25 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-filles-4781990"
"1739393952-27","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","15 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4781989"
"1739393952-28","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","8 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4779994"
"1739393952-29","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","8 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4779993"
"1739393952-30","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfants","2 500CFA","Pikine, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-4775765"
"1739393952-31","https://sn.coinafrique.com/categorie/chaussures-enfants","Timberland enfants","7 000CFA","Dakar, Sénégal","favorite_border8mois","https://sn.coinafrique.com/annonce/chaussures-enfants/timberland-enfants-4763656"
"1739393952-32","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures bébés Air Force","10 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border9mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-bebes-air-force-4735737"
"1739393952-33","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","2 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4680911"
"1739393952-34","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","15 000CFA","Colobane, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4676405"
"1739393952-35","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfant","Prix sur demande","Yoff, Dakar, Sénégal","favorite_border10mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-4656153"
"1739393952-36","https://sn.coinafrique.com/categorie/chaussures-enfants","Pantoufles  enfants","2 500CFA","Grand Yoff, Dakar, Sénégal","favorite_border11mois","https://sn.coinafrique.com/annonce/chaussures-enfants/pantoufles-enfants-4632466"
"1739393952-37","https://sn.coinafrique.com/categorie/chaussures-enfants","Pantoufle enfants","2 500CFA","Mbao, Dakar, Sénégal","favorite_border11mois","https://sn.coinafrique.com/annonce/chaussures-enfants/pantoufle-enfants-4626680"
"1739393952-38","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant Ogiy","17 000CFA","Grand Yoff, Dakar, Sénégal","favorite_border11mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-ogiy-4623157"
"1739393952-39","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 500CFA","Sipres, Dakar, Sénégal","favorite_border11mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4608262"
"1739393952-40","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","6 500CFA","Sipres, Dakar, Sénégal","favorite_border11mois","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4608259"
"1739393952-41","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","5 000CFA","Parcelle Assainies, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4588141"
"1739393952-42","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4566463"
"1739393952-43","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","13 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4514824"
"1739393952-44","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfants","8 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfants-4514805"
"1739393952-45","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 500CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4476393"
"1739393952-46","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4517970"
"1739393952-47","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures pour enfant","9 000CFA","Yoff, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-4516156"
"1739393952-48","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Colobane, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4513355"
"1739393952-49","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","3 000CFA","Colobane, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4464312"
"1739393952-50","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","4 000CFA","Colobane, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4464284"
"1739393952-51","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","9 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4486289"
"1739393952-52","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","6 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4452170"
"1739393952-53","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","20 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4481347"
"1739393952-54","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","3 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4404739"
"1739393952-55","https://sn.coinafrique.com/categorie/chaussures-enfants","Baskets  Jordan","20 000CFA","Colobane, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/baskets-jordan-4402939"
"1739393952-56","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","Prix sur demande","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4396653"
"1739393952-57","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","20 000CFA","Grand Dakar, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4430647"
"1739393952-58","https://sn.coinafrique.com/categorie/chaussures-enfants","Sandales enfant","2 500CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/sandales-enfant-4427622"
"1739393952-59","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","5 000CFA","Ouest Foire, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4422835"
"1739393952-60","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfants","8 500CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfants-4381758"
"1739393952-61","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","13 000CFA","Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4414779"
"1739393952-62","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","8 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4375022"
"1739393952-63","https://sn.coinafrique.com/categorie/chaussures-enfants","Chaussures enfant","Prix sur demande","Dakar Plateau, Dakar, Sénégal","favorite_border1année","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-4375003"
