web-scraper-order,web-scraper-start-url,Types_habits,Prix,Adresse,Image_lien,Image_lien-href
"1739226162-1","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble mardi gras","10 000CFA","Dakar Plateau, Dakar, Sénégal","favorite_border","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-mardi-gras-5171755"
"1739226162-2","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant de 1ans jusqua 15ans","7 000CFA","Colobane, Dakar, Sénégal","favorite_border10jours","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-de-1ans-jusqua-15ans-5116396"
"1739226162-3","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtement enfant","1 000CFA","Sicap foire, Dakar, Sénégal","favorite_border23jours","https://sn.coinafrique.com/annonce/vetements-enfants/vetement-enfant-5141487"
"1739226162-4","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Mbao, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5130020"
"1739226162-5","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements enfants","4 500CFA","Mbao, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-enfants-5129146"
"1739226162-6","https://sn.coinafrique.com/categorie/vetements-enfants","Genouillère anti-dérapante en coton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/genouillere-anti-derapante-en-coton-5120586"
"1739226162-7","https://sn.coinafrique.com/categorie/vetements-enfants","Ensemble pour enfant","8 000CFA","Colobane, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/ensemble-pour-enfant-5071417"
"1739226162-8","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106688"
"1739226162-9","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106673"
"1739226162-10","https://sn.coinafrique.com/categorie/vetements-enfants","Vêtements bébé","1 000CFA","Colobane, Dakar, Sénégal","favorite_border1mois","https://sn.coinafrique.com/annonce/vetements-enfants/vetements-bebe-5106669"
